City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
7,Carutapera,BR,77.18,overcast clouds,-1.195,-46.02,Lidera
8,Butaritari,KI,82.69,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
9,Mahebourg,MU,80.89,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Sao Filipe,CV,77.32,broken clouds,14.8961,-24.4956,Hotel Xaguate
15,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Angoche,MZ,76.23,light rain,-16.2325,39.9086,Guest House HESADA
22,Pacific Grove,US,84.58,clear sky,36.6177,-121.9166,Lovers Point Inn
24,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
27,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
28,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
41,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
45,Atuona,PF,77.59,light rain,-9.8,-139.0333,Villa Enata
48,Mango,US,82.74,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
49,Takoradi,GH,79.09,broken clouds,4.8845,-1.7554,Raybow International Hotel
58,Fortuna,US,75.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
59,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Buala,SB,82.44,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
67,Kavaratti,IN,80.4,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
69,Dingle,PH,75.25,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
70,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
76,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
