City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,65.91,53,99,4.85,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,78.96,71,1,16.71,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,21.85,broken clouds
3,Smithers,CA,54.7804,-127.1743,37.72,56,40,0.0,scattered clouds
4,Ponta Do Sol,PT,32.6667,-17.1,64.06,58,40,5.1,scattered clouds
5,Piranshahr,IR,36.701,45.1413,25.52,62,32,1.28,scattered clouds
6,Alice Springs,AU,-23.7,133.8833,63.95,68,0,4.61,clear sky
7,Carutapera,BR,-1.195,-46.02,77.18,91,99,5.95,overcast clouds
8,Butaritari,KI,3.0707,172.7902,82.69,70,99,14.74,overcast clouds
9,Mahebourg,MU,-20.4081,57.7,80.89,83,75,5.75,light intensity shower rain
10,Atambua,ID,-9.1061,124.8925,74.77,87,96,3.69,overcast clouds
11,Guaxupe,BR,-21.3053,-46.7128,65.52,96,16,3.76,few clouds
12,Sao Filipe,CV,14.8961,-24.4956,77.32,46,70,20.8,broken clouds
13,Kaitangata,NZ,-46.2817,169.8464,53.92,85,100,10.63,overcast clouds
14,Bethel,US,41.3712,-73.414,52.48,49,0,8.05,clear sky
15,Saint-Philippe,RE,-21.3585,55.7679,78.35,81,27,10.69,scattered clouds
16,Jamestown,US,42.097,-79.2353,23.29,62,100,9.22,overcast clouds
17,Hobart,AU,-42.8794,147.3294,67.86,59,75,17.27,broken clouds
18,Kamaishi,JP,39.2667,141.8833,34.5,61,79,5.91,broken clouds
19,Yuzhne,UA,46.6221,31.1013,30.42,69,5,8.28,clear sky
20,Angoche,MZ,-16.2325,39.9086,76.23,92,98,5.28,light rain
21,Srednekolymsk,RU,67.45,153.6833,-30.73,98,88,7.16,overcast clouds
22,Pacific Grove,US,36.6177,-121.9166,84.58,29,0,4.61,clear sky
23,Andenes,NO,69.3143,16.1194,26.58,80,11,20.71,few clouds
24,Cabedelo,BR,-6.9811,-34.8339,83.07,77,38,7.81,scattered clouds
25,Filadelfia,US,39.9523,-75.1638,55.65,41,0,14.97,clear sky
